id,lat,long,Coord,Place,State,City,Centroid Index,Centroid Lat,Centroid Long
0,41.698807,-71.156407,Latitude : 41.698807 Longitude : -71.156407,Lizzie Borden House,MA,Fall River,0,41.6408248021414,-71.5280779282019
1,41.7728168,-71.0296064,Latitude : 41.7728168 Longitude : -71.0296064,Freetown-Fall River State Forest,MA,Assonet,0,41.6408248021414,-71.5280779282019
2,42.014633,-71.012082,Latitude : 42.014633 Longitude : -71.012082,Hockomock Swamp,MA,Raynham,0,41.6408248021414,-71.5280779282019
3,41.1895771,-71.5679001,Latitude : 41.1895771 Longitude : -71.5679001,The Palatine,RI,Block Island,0,41.6408248021414,-71.5280779282019
4,42.0091173,-71.7096935,Latitude : 42.0091173 Longitude : -71.7096935,The Perron House,RI,Burrillville,0,41.6408248021414,-71.5280779282019
5,41.6942734,-71.5440491,Latitude : 41.6942734 Longitude : -71.5440491,Nathanael Greene Homestead,RI,Coventry,0,41.6408248021414,-71.5280779282019
6,41.9340864,-71.4042122,Latitude : 41.9340864 Longitude : -71.4042122,Cumberland Monastary/Library,RI,Cumberland,0,41.6408248021414,-71.5280779282019
7,41.5807467,-71.5584478,Latitude : 41.5807467 Longitude : -71.5584478,Grave of Mercy Brown,RI,Exeter,0,41.6408248021414,-71.5280779282019
8,41.555695,-71.542381,Latitude : 41.555695 Longitude : -71.542381,The Ladd School,RI,Exeter,0,41.6408248021414,-71.5280779282019
9,41.8199182,-71.7043525,Latitude : 41.8199182 Longitude : -71.7043525,The Ramtail Mill,RI,Foster,0,41.6408248021414,-71.5280779282019
10,41.4818983,-71.3675597,Latitude : 41.4818983 Longitude : -71.3675597,Fort Wetherill,RI,Jamestown,0,41.6408248021414,-71.5280779282019
11,41.4699145,-71.2981522,Latitude : 41.4699145 Longitude : -71.2981522,The Breakers,RI,Newport,0,41.6408248021414,-71.5280779282019
12,41.4678179,-71.3040671,Latitude : 41.4678179 Longitude : -71.3040671,Seaview Terrace,RI,Newport,0,41.6408248021414,-71.5280779282019
13,41.4758017,-71.3354155,Latitude : 41.4758017 Longitude : -71.3354155,Fort Adams,RI,Newport,0,41.6408248021414,-71.5280779282019
14,41.4911463,-71.3129371,Latitude : 41.4911463 Longitude : -71.3129371,The White Horse Tavern,RI,Newport,0,41.6408248021414,-71.5280779282019
15,41.8777376,-71.3829646,Latitude : 41.8777376 Longitude : -71.3829646,Slater Mill,RI,Pawtucket,0,41.6408248021414,-71.5280779282019
16,41.8242752,-71.413425,Latitude : 41.8242752 Longitude : -71.413425,The Biltmore Hotel,RI,Providence,0,41.6408248021414,-71.5280779282019
17,41.8204641,-71.427659,Latitude : 41.8204641 Longitude : -71.427659,Barnaby Castle,RI,Providence,0,41.6408248021414,-71.5280779282019
18,41.6244848,-71.2073449,Latitude : 41.6244848 Longitude : -71.2073449,Fort Barton Woods,RI,Tiverton,0,41.6408248021414,-71.5280779282019
19,41.8835617,-71.9618903,Latitude : 41.8835617 Longitude : -71.9618903,Bara-Hack,CT,Pomfret,0,41.6408248021414,-71.5280779282019
20,41.350979,-71.9721425,Latitude : 41.350979 Longitude : -71.9721425,Captain Daniel Packer Inn,CT,Mystic,0,41.6408248021414,-71.5280779282019
21,41.4856693,-72.341798,Latitude : 41.4856693 Longitude : -72.341798,Devils Hopyard State Park,CT,East Haddam,0,41.6408248021414,-71.5280779282019
22,41.4892648,-72.0731327,Latitude : 41.4892648 Longitude : -72.0731327,Norwich State Hospital,CT,Norwich,0,41.6408248021414,-71.5280779282019
23,41.355405,-72.038268,Latitude : 41.355405 Longitude : -72.038268,Pequot Hill,CT,Groton,0,41.6408248021414,-71.5280779282019
